score,max_tile,board_state
1024,128,[1 3 1 4 3 4 5 3 1 2 7 1 2 1 3 2]
828,64,[1 4 3 1 6 2 4 2 4 6 3 1 3 2 1 3]
1200,128,[1 3 2 1 2 7 1 4 3 4 6 3 2 3 2 1]
812,64,[1 3 2 1 3 4 1 4 4 2 6 3 3 6 2 1]
1128,128,[1 2 4 2 3 1 2 5 1 5 7 2 2 3 4 1]
632,64,[1 3 4 1 2 5 2 3 1 6 4 2 3 4 3 1]
632,64,[1 2 4 3 2 1 6 1 4 5 2 3 2 4 3 1]
392,32,[2 3 2 1 5 2 5 3 2 4 1 2 1 2 4 3]
1072,128,[2 3 4 1 1 2 5 2 3 7 3 4 1 3 4 2]
408,32,[3 2 3 1 1 5 4 3 3 2 5 1 2 4 1 2]
1404,128,[1 2 3 1 2 5 7 2 3 6 5 3 2 4 2 1]
1704,128,[1 2 5 2 5 7 6 1 2 3 4 2 1 6 1 4]
1560,128,[1 2 3 2 3 6 7 1 1 5 6 2 2 3 1 4]
736,64,[1 2 3 5 3 5 4 3 4 2 6 1 2 3 4 2]
1068,128,[2 3 2 1 5 2 1 2 1 5 7 4 2 3 1 2]
728,64,[1 5 2 1 4 6 3 4 1 4 5 2 3 1 3 1]
652,64,[1 4 1 2 2 3 2 4 5 6 4 2 3 4 3 1]
336,32,[1 2 3 2 4 5 4 3 3 1 3 2 1 3 4 1]
1188,128,[1 3 2 1 4 7 5 2 2 5 2 5 1 2 3 2]
948,64,[1 4 2 3 6 2 5 2 2 1 6 3 1 5 2 1]
1504,128,[1 2 4 1 4 7 5 4 2 6 4 2 1 5 3 1]
724,64,[2 1 2 5 4 2 4 1 2 5 6 3 1 3 1 4]
672,64,[2 1 2 3 1 3 4 5 3 5 6 3 1 3 1 2]
620,64,[1 3 1 3 2 1 3 5 3 4 6 1 1 2 4 3]
2012,256,[1 3 2 1 2 5 3 2 4 3 8 4 1 2 3 1]
400,32,[2 4 1 2 3 5 3 1 1 2 5 4 3 1 3 1]
